model,epochs,rmse,time
LSTM,5,0.06642597068921811,6.120240211486816
GRU,5,,3.4601211547851562
CNN,5,0.07082300655948767,3.7927520275115967
LSTM,10,0.06583818666448443,10.74361801147461
GRU,10,,6.132367134094238
CNN,10,0.07211971773935491,3.765820264816284
LSTM,20,0.060567801400687425,21.7409508228302
GRU,20,,11.674161911010742
CNN,20,0.06928983643358137,3.884706974029541
LSTM,50,0.05553638168613306,50.529133796691895
GRU,50,,28.739874839782715
CNN,50,0.07081558594485718,4.012887954711914
LSTM,100,0.05158727694647606,98.77728009223938
GRU,100,,55.17975401878357
CNN,100,0.07143439386959191,3.804590940475464
