X,Y,FID,OBJECTID,TFM_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,DATA_SOURC,TIME_CATEG,YEAR_SINCE,LAST_YEAR,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS
144.250613557206833,-36.779313366338279,7001,7301,7656,CALDER HWY NE OF OAK ST,INTERSECTION,All Moves,CALDER HWY & OAK ST,2530,CALDER HIGHWAY,HIGH STREET,TMVMT,Manual,Greater than 10 Years,19,1997,7700,330,0.04
145.356779391056335,-37.835308803164338,7002,7302,29406,MT DANDENONG RD S BD SE OF UPALONG RD,INTERSECTION,All Moves,MT DANDENONG RD SE OF UPALONG RD,4991,MOUNT DANDENONG ROAD,MOUNT DANDENONG TOURIST ROAD,APARX,Classification,Greater than 10 Years,16,2000,1900,0,0
144.988843533294272,-37.824628792499844,7003,7303,22676,SWAN ST W BD E OF PUNT RD,INTERSECTION,All Moves,PUNT RD LEFT TURN TO SWAN ST OD:12,2080,HODDLE HIGHWAY,PUNT ROAD,MOTSV,Manual,Greater than 10 Years,23,1993,15000,630,0.04
144.932442383513632,-37.803783317565575,7004,7304,27902,DYNON RD W BD E OF RADCLIFFE ST,INTERSECTION,All Moves,DYNON RD & RADCLIFFE ST,5035,DYNON ROAD,DYNON ROAD,TMVMT,Manual,Greater than 10 Years,19,1997,12000,1300,0.1
145.030600501489857,-37.660502400829095,7005,7305,10935,DALTON RD N of CHILDS RD,INTERSECTION,All Moves,CHILDS RD & DALTON RD,5605,DALTON ROAD,DALTON ROAD,TMVMT,Manual,Greater than 10 Years,19,1997,12000,600,0.05
145.090471609897435,-37.703241461275347,7006,7306,27853,GRIMSHAW ST E of GREENSBOROUGH HWY,INTERSECTION,All Moves,GREENSBOROUGH HWY & GRIMSHAW ST,5811,HEIDELBERG-KINGLAKE ROAD,GRIMSHAW STREET,TMVMT,Manual,Greater than 10 Years,23,1993,21000,840,0.04
145.083434122261139,-37.761900598246378,7007,7307,10936,BULLEEN RD N BD N of MANNINGHAM RD,INTERSECTION,All Moves,BULLEEN RD N OF MANNINGHAM RD,5363,BULLEEN ROAD,BULLEEN ROAD,TMVMT,Manual,Greater than 10 Years,18,1998,5000,130,0.03
145.133635102531031,-38.129982500705566,7008,7308,26639,FRANKSTON DANDENON NE of SKYE RD,INTERSECTION,All Moves,FRANKSTON DANDENON & SKYE RD,7543,2840R 2090B,FRANKSTON IN-FRANKSTON-DANDENONG RAMP OF,TMVMT,Manual,Greater than 10 Years,22,1994,8400,0,0
145.031281021375236,-37.794104400772035,7009,7309,11632,PRINCESS ST N OF HUTCHINSON DR,INTERSECTION,All Moves,PRINCESS ST/DUKE ST/HUTCHINSON DR,5856,BURNLEY-KEW ROAD,PRINCESS STREET,SCATS,Scats,Between 2 and 5 Years,5,2011,17000,0,0
144.918481151872953,-37.683466980857325,7010,7310,22114,PASCOE VALE RD N BD NE OF DIMBOOLA RD,INTERSECTION,All Moves,PASCOE VALE RD NE OF DIMBOOLA RD,5819,PASCOE VALE ROAD,PASCOE VALE ROAD,APARX,Classification,Greater than 10 Years,22,1994,15000,0,0
145.133642136850881,-38.153141188581898,7011,7311,13918,MOOROODUC HWY N OF HASTINGS RD,INTERSECTION,Left Missing,MOOROODUC HWY/HASTINGS RD/MONASH UNI ENT,2860,MOOROODUC HIGHWAY,MOOROODUC HIGHWAY,SCATS,Scats,Less than 2 Years,0,2016,0,0,0
145.721965703030662,-37.723070902723244,7012,7312,21470,ACHERON WAY N BD S OF DONNA BUANG RD,INTERSECTION,All Moves,ACHERON WAY S OF DONNA BUANG RD,4811,ACHERON WAY,DONNA BUANG ROAD,APARX,Classification,Greater than 10 Years,16,2000,50,0,0
144.913385481965378,-37.833933910541937,7013,7313,28351,TODD RD SEBD SE OF WEST GATE FWY CONN,INTERSECTION,All Moves,WEST GATE FWY CONN NNE OF TODD RD,5609,TODD ROAD,TODD ROAD,TMVMT,Manual,Greater than 10 Years,19,1997,11000,2200,0.2
145.124289907715507,-37.818355210505338,7014,7314,28732,MAROONDAH HWY E BD E of STATION ST,INTERSECTION,All Moves,STATION ST N OF MAROONDAH HWY,2720,MAROONDAH HIGHWAY,WHITEHORSE ROAD,TMVMT,Manual,Greater than 10 Years,18,1998,19000,590,0.03
145.05552050592388,-37.772366921004476,7015,7315,11438,LOWER HEIDELBERG RD 10M AFTER RAVENSWOOD AVE,INTERSECTION,Scheduled PubTpt Bus flow,LOWER HEIDELBERG RD 10M AFTER RAVENSWOOD AVE,5762,MAIN HEIDELBERG-ELTHAM ROAD,LOWER HEIDELBERG ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0
145.016065810826092,-37.805651084377565,7016,7316,9899,STUDLEY PARK RD 50M AFTER HODGSON ST,INTERSECTION,Scheduled PubTpt Bus flow,STUDLEY PARK RD 50M AFTER HODGSON ST,5855,STUDLEY PARK ROAD,STUDLEY PARK ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0
145.288159409813716,-37.780981809192042,7017,7317,27958,MAROONDAH HWY SWBD SW OF BONNIE VIEW RD,INTERSECTION,All Moves,MAROONDAH HWY NSW OF BONNIE VIEW RD,2720,MAROONDAH HIGHWAY,MAROONDAH HIGHWAY,MOTSV,Manual,Between 5 and 10 Years,10,2006,17000,800,0.05
144.976943926908234,-37.859588677082009,7018,7318,27883,CANTERBURY RD SEBD NW OF FITZROY ST,INTERSECTION,All Moves,CANTERBURY RD NW OF FITZROY ST,5131,CANTERBURY ROAD,CANTERBURY ROAD,APARX,Classification,Greater than 10 Years,15,2001,10000,0,0
145.054116478165213,-37.960491612396119,7019,7319,28274,NEPEAN HWY NWBD SE OF MAY ST,INTERSECTION,All Moves,NEPEAN HWY SE OF MAY ST,2660,NEPEAN HIGHWAY,NEPEAN HIGHWAY,MOTSV,Manual,Between 2 and 5 Years,5,2011,36000,1400,0.04
144.977483171705586,-37.745783295823067,7020,7320,9684,NICHOLSON ST N OF HARDING ST,INTERSECTION,All Moves,NICHOLSON ST/HARDING ST,5736,NICHOLSON STREET,NICHOLSON STREET,SCATS,Scats,Less than 2 Years,1,2015,0,0,0
144.358434485337256,-38.073536802034909,7021,7321,10724,BACCHUS MARSH ROAD NO of PURNELL ROAD,INTERSECTION,Exitfrom Carpark Busin Area,BACCHUS MARSH ROAD & PURNELL ROAD,9999,Missing Data,BACCHUS MARSH ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0
145.236406971258674,-37.866712891484553,7022,7322,28627,STUD_RD NE of KNOX CITY_ENT,INTERSECTION,Left Missing,STUD RD/SHOPPING CENTRE ACCESS,5796,STUD ROAD,STUD ROAD,SCATS,Scats,Greater than 10 Years,17,1999,21000,0,0
